"","X","n","cardinal","h1","h2","l"
"73",73,17,"decimoséptimo|decimoséptima","acto","escena","es"
"74",74,18,"decimoctavo|decimoctava","acto","escena","es"
"75",75,19,"decimonoveno|decimonovena","acto","escena","es"
"76",76,20,"vigésimo|vigésima","acto","escena","es"
"77",77,1,"premier|première","acte","scène","fr"
"78",78,2,"deuxième","acte","scène","fr"
"79",79,3,"troisième","acte","scène","fr"
"80",80,4,"quatrième","acte","scène","fr"
"81",81,5,"cinquième","acte","scène","fr"
"82",82,6,"sixième","acte","scène","fr"
"83",83,7,"septième","acte","scène","fr"
"84",84,8,"huitième","acte","scène","fr"
"85",85,9,"neuvième","acte","scène","fr"
"86",86,10,"dixième","acte","scène","fr"
"87",87,11,"onzième","acte","scène","fr"
"88",88,12,"douzième","acte","scène","fr"
"89",89,13,"treizième","acte","scène","fr"
"90",90,14,"quatorzième","acte","scène","fr"
"91",91,15,"quinzième","acte","scène","fr"
"92",92,16,"seizième","acte","scène","fr"
"93",93,17,"dix-septième","acte","scène","fr"
"94",94,18,"dix-huitième","acte","scène","fr"
"95",95,19,"dix-neuvième","acte","scène","fr"
"96",96,20,"vingtième","acte","scène","fr"
"97",97,1,"primo|prima","atto","scena","it"
"98",98,2,"secondo|seconda","atto","scena","it"
"99",99,3,"terzo|terza","atto","scena","it"
"100",100,4,"quarto|quarta","atto","scena","it"
"101",101,5,"quinto|quinta","atto","scena","it"
"102",102,6,"sesto|sesta","atto","scena","it"
"103",103,7,"settimo|settima","atto","scena","it"
"104",104,8,"ottavo|ottava","atto","scena","it"
"105",105,9,"nono|nona","atto","scena","it"
"106",106,10,"decimo|decima","atto","scena","it"
"107",107,11,"undicesimo|undicesima","atto","scena","it"
"108",108,12,"dodicesimo|dodicesima","atto","scena","it"
"109",109,13,"tredicesimo|tredicesima","atto","scena","it"
"110",110,14,"quattordicesimo|quattordicesima","atto","scena","it"
"111",111,15,"quindicesimo|quindicesima","atto","scena","it"
"112",112,16,"sedicesimo|sedicesima","atto","scena","it"
"113",113,17,"diciassettesimo|diciassettesima","atto","scena","it"
"114",114,18,"diciottesimo|diciottesima","atto","scena","it"
"115",115,19,"diciannovesimo|diciannovesima","atto","scena","it"
"116",116,20,"ventesimo|ventesima","atto","scena","it"
"117",117,1,"первый|первая|первое","акт","сцена","ru"
"118",118,2,"второй|вторая|второе","акт","сцена","ru"
"119",119,3,"третий|третья|третье","акт","сцена","ru"
"120",120,4,"четвёртый|четвёртая|четвёртое","акт","сцена","ru"
"121",121,5,"пятый|пятая|пятое","акт","сцена","ru"
"122",122,6,"шестой|шестая|шестое","акт","сцена","ru"
"123",123,7,"седьмой|седьмая|седьмое","акт","сцена","ru"
"124",124,8,"восьмой|восьмая|восьмое","акт","сцена","ru"
"125",125,9,"девятый|девятая|девятое","акт","сцена","ru"
"126",126,10,"десятый|десятая|десятое","акт","сцена","ru"
"127",127,11,"одиннадцатый|одиннадцатая|одиннадцатое","акт","сцена","ru"
"128",128,12,"двенадцатый|двенадцатая|двенадцатое","акт","сцена","ru"
"129",129,13,"тринадцатый|тринадцатая|тринадцатое","акт","сцена","ru"
"130",130,14,"четырнадцатый|четырнадцатая|четырнадцатое","акт","сцена","ru"
"131",131,15,"пятнадцатый|пятнадцатая|пятнадцатое","акт","сцена","ru"
"132",132,16,"шестнадцатый|шестнадцатая|шестнадцатое","акт","сцена","ru"
"133",133,17,"семнадцатый|семнадцатая|семнадцатое","акт","сцена","ru"
"134",134,18,"восемнадцатый|восемнадцатая|восемнадцатое","акт","сцена","ru"
"135",135,19,"девятнадцатый|девятнадцатая|девятнадцатое","акт","сцена","ru"
"136",136,20,"двадцатый|двадцатая|двадцатое","акт","сцена","ru"
"137",137,1,"1","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"138",138,2,"2","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"139",139,2,"2","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"140",140,3,"3","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"141",141,4,"4","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"142",142,5,"5","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"143",143,5,"5","Akt|Akt|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"144",144,6,"6","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"145",145,7,"7","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"146",146,8,"8","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"147",147,9,"9","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"148",148,10,"10","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"149",149,11,"11","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"150",150,12,"12","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"151",151,12,"12","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"152",152,13,"13","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"153",153,13,"13","Akt|Act|Handlung|Aufzug","Szene|Scene|Auftritt","de"
"154",154,1,"1","akt","scene","dk"
"155",155,2,"2","akt","scene","dk"
"156",156,3,"3","akt","scene","dk"
"157",157,4,"4","akt","scene","dk"
"158",158,5,"5","akt","scene","dk"
"159",159,6,"6","akt","scene","dk"
"160",160,7,"7","akt","scene","dk"
"161",161,8,"8","akt","scene","dk"
"162",162,9,"9","akt","scene","dk"
"163",163,10,"10","akt","scene","dk"
"164",164,11,"11","akt","scene","dk"
"165",165,12,"12","akt","scene","dk"
"166",166,13,"13","akt","scene","dk"
"167",167,14,"14","akt","scene","dk"
"168",168,15,"15","akt","scene","dk"
"169",169,16,"16","akt","scene","dk"
"170",170,17,"17","akt","scene","dk"
"171",171,18,"18","akt","scene","dk"
"172",172,19,"19","akt","scene","dk"
"173",173,20,"20","akt","scene","dk"
"174",174,1,"1","act","scene","en"
"175",175,2,"2","act","scene","en"
"176",176,3,"3","act","scene","en"
"177",177,4,"4","act","scene","en"
"178",178,5,"5","act","scene","en"
"179",179,6,"6","act","scene","en"
"180",180,7,"7","act","scene","en"
"181",181,8,"8","act","scene","en"
"182",182,9,"9","act","scene","en"
"183",183,10,"10","act","scene","en"
"184",184,11,"11","act","scene","en"
"185",185,12,"12","act","scene","en"
"186",186,13,"13","act","scene","en"
"187",187,14,"14","act","scene","en"
"188",188,15,"15","act","scene","en"
"189",189,16,"16","act","scene","en"
"190",190,17,"17","act","scene","en"
"191",191,18,"18","act","scene","en"
"192",192,19,"19","act","scene","en"
"193",193,20,"20","act","scene","en"
"194",194,1,"1","acto","escena","es"
"195",195,2,"2","acto","escena","es"
"196",196,3,"3","acto","escena","es"
"197",197,4,"4","acto","escena","es"
"198",198,6,"6","acto","escena","es"
"199",199,7,"7","acto","escena","es"
"200",200,8,"8","acto","escena","es"
"201",201,9,"9","acto","escena","es"
"202",202,10,"10","acto","escena","es"
"203",203,11,"11","acto","escena","es"
"204",204,12,"12","acto","escena","es"
"205",205,13,"13","acto","escena","es"
"206",206,14,"14","acto","escena","es"
"207",207,15,"15","acto","escena","es"
"208",208,16,"16","acto","escena","es"
"209",209,17,"17","acto","escena","es"
"210",210,18,"18","acto","escena","es"
"211",211,19,"19","acto","escena","es"
"212",212,20,"20","acto","escena","es"
"213",213,1,"1","acte","scène","fr"
"214",214,2,"2","acte","scène","fr"
"215",215,3,"3","acte","scène","fr"
"216",216,4,"4","acte","scène","fr"
"217",217,5,"5","acte","scène","fr"
"218",218,6,"6","acte","scène","fr"
"219",219,7,"7","acte","scène","fr"
"220",220,8,"8","acte","scène","fr"
"221",221,9,"9","acte","scène","fr"
"222",222,10,"10","acte","scène","fr"
"223",223,11,"11","acte","scène","fr"
"224",224,12,"12","acte","scène","fr"
"225",225,13,"13","acte","scène","fr"
"226",226,14,"14","acte","scène","fr"
"227",227,15,"15","acte","scène","fr"
"228",228,16,"16","acte","scène","fr"
"229",229,17,"17","acte","scène","fr"
"230",230,18,"18","acte","scène","fr"
"231",231,19,"19","acte","scène","fr"
"232",232,20,"20","acte","scène","fr"
"233",233,1,"1","atto","scena","it"
"234",234,2,"2","atto","scena","it"
"235",235,3,"3","atto","scena","it"
"236",236,4,"4","atto","scena","it"
"237",237,5,"5","atto","scena","it"
"238",238,6,"6","atto","scena","it"
"239",239,7,"7","atto","scena","it"
"240",240,8,"8","atto","scena","it"
"241",241,9,"9","atto","scena","it"
"242",242,10,"10","atto","scena","it"
"243",243,11,"11","atto","scena","it"
"244",244,12,"12","atto","scena","it"
"245",245,13,"13","atto","scena","it"
"246",246,14,"14","atto","scena","it"
"247",247,15,"15","atto","scena","it"
"248",248,16,"16","atto","scena","it"
"249",249,17,"17","atto","scena","it"
"250",250,18,"18","atto","scena","it"
"251",251,19,"19","atto","scena","it"
"252",252,20,"20","atto","scena","it"
"253",253,1,"1","акт","сцена","ru"
"254",254,2,"2","акт","сцена","ru"
"255",255,3,"3","акт","сцена","ru"
"256",256,4,"4","акт","сцена","ru"
"257",257,5,"5","акт","сцена","ru"
"258",258,6,"6","акт","сцена","ru"
"259",259,7,"7","акт","сцена","ru"
"260",260,8,"8","акт","сцена","ru"
"261",261,9,"9","акт","сцена","ru"
"262",262,10,"10","акт","сцена","ru"
"263",263,11,"11","акт","сцена","ru"
"264",264,12,"12","акт","сцена","ru"
"265",265,13,"13","акт","сцена","ru"
"266",266,14,"14","акт","сцена","ru"
"267",267,15,"15","акт","сцена","ru"
"268",268,16,"16","акт","сцена","ru"
"269",269,17,"17","акт","сцена","ru"
"270",270,18,"18","акт","сцена","ru"
"271",271,19,"19","акт","сцена","ru"
"272",272,20,"20","акт","сцена","ru"
